"Create New List","Izveidot jaunu grozu"
"Requisition Lists","Saglabātie grozi"
"List Name","Nosaukums"
"Updated by","Atjaunināja"
"Last update","Datums"
"Products","Produkti"
"Created by":"Izveidoja"
"Description":"Apraksts"
"New Requisition list","Jauns grozs"
"Product list name","Produktu saraksta nosaukums"
"Create list","Izveidot"
"Requisition List was successfully saved.","Grozs tika veiksmīgi saglabāts"
"You don't have any items in list.","Jums nav neviena produkta grozā"
"Delete Requisition List","Dzēst grozu"
"Remove selected","Noņemt atlasītos"
"Move selected","Pārvietot atlasītos"
"Copy selected","Kopēt atlasītos"
"Update Quantity","Atjaunināt daudzumu",module,Magebit_HyvaRequisitionLists
"Price","Cena"
"Field is required","Lauks ir obligāts"
"New Requisition List Name","Jauns nosaukums"
"Edit Requisition List","Rediģēt grozu"
"New Description","Jauns apraksts"
"Return back","Atgriezties"
"Create New List","Izveidot jaunu grozu"
"%1 item(s) have been successfully removed from ""%2"".","%1 produkts(i) tika izdzēsti no ""%2""."
"%1 item(s) have been successfully moved to ""<a href=""%2"">%3</a>"" list.","%1 produkts(i) tika pārvietoti ""<a href=""%2"">%3</a>"" grozā."
"%1 item(s) have been successfully added to ""<a href=""%2"">%3</a>"" list.","%1 produkts(i) tika pievienoti ""<a href=""%2"">%3</a>"" grozam."
"%1 of %2 item(s) successfully added to the cart.","%1 no %2 produktiem tika pievienoti grozam."
"%1 item(s) have been successfully removed from ""%2"".","%1 produkts(i) tika izdzēsti no ""%2"" groza."
"%1 item(s) have been updated in ""%2"" list.","%1 produkts(i) tika atjaunināti ""%2"" grozā."
"You don't have any lists.","Jums nav neviena groza"
"My Requisition Lists","Saglabātie grozi"
"You haven't selected any items.","Jūs neatzīmējāt nevienu produktu"
"Create List","Izveidot"
"Quantity","Daudzums"
"%1 Products","%1 Prece(s)"
